time,altitude,velocity,acceleration
0.01,0.00116186,0.116186,11.6186
0.02,0.00348572,0.232387,11.6201
0.03,0.00697176,0.348603,11.6216
0.04,0.0116201,0.464835,11.6232
0.05,0.0174309,0.581083,11.6248
0.06,0.0244044,0.697346,11.6263
0.07,0.0325406,0.813625,11.6279
0.08,0.0418398,0.929919,11.6295
0.09,0.0523021,1.04623,11.6311
0.1,0.0639277,1.16256,11.6326
0.11,0.0767167,1.2789,11.6342
0.12,0.0906693,1.39526,11.6359
0.13,0.105786,1.51163,11.6375
0.14,0.122066,1.62802,11.6391
0.15,0.13951,1.74443,11.6407
0.16,0.158119,1.86085,11.6424
0.17,0.177892,1.97729,11.644
0.18,0.198829,2.09375,11.6457
0.19,0.220931,2.21022,11.6473
0.2,0.244198,2.32671,11.649
0.21,0.268631,2.44322,11.6507
0.22,0.294228,2.55974,11.6523
0.23,0.320991,2.67628,11.654
0.24,0.348919,2.79284,11.6557
0.25,0.378013,2.90941,11.6574
0.26,0.408273,3.02601,11.6591
0.27,0.4397,3.14261,11.6608
0.28,0.472292,3.25924,11.6626
0.29,0.506051,3.37588,11.6643
0.3,0.540976,3.49254,11.666
0.31,0.577069,3.60922,11.6678
0.32,0.614328,3.72592,11.6696
0.33,0.652754,3.84263,11.6713
0.34,0.692348,3.95936,11.6731
0.35,0.733109,4.07611,11.6749
0.36,0.775037,4.19288,11.6766
0.37,0.818134,4.30966,11.6784
0.38,0.862399,4.42646,11.6802
0.39,0.907832,4.54328,11.682
0.4,0.954433,4.66012,11.6839
0.41,1.0022,4.77698,11.6857
0.42,1.05114,4.89385,11.6875
0.43,1.10125,5.01075,11.6894
0.44,1.15253,5.12766,11.6912
0.45,1.20497,5.24459,11.6931
0.46,1.25859,5.36154,11.6949
0.47,1.31337,5.47851,11.6968
0.48,1.36933,5.59549,11.6987
0.49,1.42645,5.7125,11.7005
0.5,1.48475,5.82952,11.7024
0.51,1.54421,5.94657,11.7043
0.52,1.60485,6.06363,11.7062
0.53,1.66666,6.18071,11.7081
0.54,1.72963,6.29781,11.7101
0.55,1.79378,6.41493,11.712
0.56,1.8591,6.53207,11.7139
0.57,1.9256,6.64923,11.7159
0.58,1.99326,6.76641,11.7178
0.59,2.0621,6.88361,11.7198
0.6,2.1321,7.00082,11.7217
0.61,2.20329,7.11806,11.7237
0.62,2.27564,7.23532,11.7257
0.63,2.34916,7.35259,11.7277
0.64,2.42386,7.46989,11.7297
0.65,2.49974,7.58721,11.7317
0.66,2.57678,7.70454,11.7337
0.67,2.655,7.8219,11.7357
0.68,2.73439,7.93928,11.7377
0.69,2.81496,8.05668,11.7398
0.7,2.8967,8.1741,11.7418
0.71,2.97962,8.29153,11.7439
0.72,3.06371,8.40899,11.7459
0.73,3.14897,8.52647,11.748
0.74,3.23541,8.64397,11.7501
0.75,3.32302,8.7615,11.7521
0.76,3.41182,8.87904,11.7542
0.77,3.50178,8.9966,11.7563
0.78,3.59292,9.11419,11.7584
0.79,3.68524,9.23179,11.7605
0.8,3.77874,9.34942,11.7627
0.81,3.87341,9.46707,11.7648
0.82,3.96925,9.58473,11.7669
0.83,4.06628,9.70243,11.7691
0.84,4.16448,9.82014,11.7712
0.85,4.26386,9.93787,11.7734
0.86,4.36441,10.0556,11.7755
0.87,4.46615,10.1734,11.7777
0.88,4.56906,10.2912,11.7799
0.89,4.67315,10.409,11.7821
0.9,4.77842,10.5269,11.7843
0.91,4.88487,10.6447,11.7865
0.92,4.99249,10.7626,11.7887
0.93,5.1013,10.8805,11.7909
0.94,5.21128,10.9985,11.7931
0.95,5.32245,11.1164,11.7954
0.96,5.43479,11.2344,11.7976
0.97,5.54831,11.3524,11.7999
0.98,5.66302,11.4704,11.8021
0.99,5.7789,11.5885,11.8044
1,5.89597,11.7065,11.8067
1.01,6.01421,11.8246,11.8089
1.02,6.13364,11.9427,11.8112
1.03,6.25425,12.0609,11.8135
1.04,6.37604,12.179,11.8158
